src,dst
input,transform
transform,conv1
conv1,bn1
bn1,relu
relu,maxpool
maxpool,layer1
layer1,layer2
layer2,layer3
layer3,layer4
layer4,inner_3
inner_3,layer_3
layer3,inner_2
inner_3,interpolate__2
inner_2,add__2
interpolate__2,add__2
add__2,layer_2
layer2,inner_1
add__2,interpolate__1
inner_1,add__1
interpolate__1,add__1
add__1,layer_1
layer1,inner_0
add__1,interpolate__0
inner_0,add__0
interpolate__0,add__0
add__0,layer_0
layer_3,extra
layer_0,rpn_parallel_f0
rpn_parallel_f0,rpn_merger
layer_1,rpn_parallel_f1
rpn_parallel_f1,rpn_merger
layer_2,rpn_parallel_f2
rpn_parallel_f2,rpn_merger
layer_3,rpn_parallel_f3
rpn_parallel_f3,rpn_merger
extra,rpn_parallel_f4
rpn_parallel_f4,rpn_merger
layer_0,box_roi_pool
layer_1,box_roi_pool
layer_2,box_roi_pool
layer_3,box_roi_pool
extra,box_roi_pool
rpn_merger,box_roi_pool
box_roi_pool,fc6
fc6,fc7
fc7,cls_score
fc7,bbox_pred_roi_
cls_score,postprocess_detections
bbox_pred_roi_,postprocess_detections
rpn_merger,postprocess_detections
postprocess_detections,postprocess_resize
postprocess_resize,output