layer_name,time,cpu_mem,cuda_mem,size,macs
input,0,0,0,0.6021,0
transform,0.0003419,0.000516,30.46,7.68,0
conv1,0.0001016,0.000372,160.9,40.96,0
bn1,0.0001836,0.000372,80,40.96,0
relu,3.00E-05,0.000372,0,40.96,0
maxpool,4.03E-05,0.000372,39.07,10.24,0
layer1,0.002618,0.000372,1314,40.96,0
layer2,0.003867,0.000372,936.8,20.48,0
layer3,0.005521,0.000372,679.4,10.24,0
layer4,0.002887,0.000372,237.6,5.12,0
inner_3,0.0001097,0.000372,2.504,0.64,0
layer_3,0.0001137,0.000372,8.75,0.64,0
inner_2,0.0001018,0.000372,9.775,2.56,0
interpolate__2,4.01E-05,0.000372,2.44,2.56,0
layer_2,0.0001066,0.000372,16.01,2.56,0
inner_1,0.0005872,0.000372,40.98,10.24,0
interpolate__1,3.67E-05,0.000372,9.77,10.24,0
layer_1,0.0001132,0.000372,45.33,10.24,0
inner_0,0.0001061,0.000372,160.2,40.96,0
interpolate__0,3.72E-05,0.000372,40,40.96,0
layer_0,0.0001125,0.000372,166.3,40.96,0
extra,4.27E-05,0.000372,1.014,0.1731,0
rpn_parallel_f0,0.005937,0.000792,381.5,0.028,0
rpn_parallel_f1,0.002979,0.000792,100,0.028,0
rpn_parallel_f2,0.002412,0.000792,29.39,0.028,0
rpn_parallel_f3,0.002383,0.000792,12.3,0.028,0
rpn_parallel_f4,0.002359,0.000792,7.946,0.0142,0
rpn_merger,0.01919,7.356,4.149,0.016,0
box_roi_pool,0.004247,0.000376,242.7,50.18,0
fc6,0.000118,0.000372,25.39,4.096,0
fc7,0.0001225,0.000372,25.39,4.096,0
cls_score,7.49E-05,0.000372,0.711,4.096,0
bbox_pred_roi_,9.04E-05,0.000372,2.78,1.456,0
postprocess_detections,0.002528,0.000528,29.98,0,0
postprocess_resize,0,0,0,0,0
output,0,0,0,0,0
add__2,0,0,0,2.56,0
add__1,0,0,0,10.24,0
add__0,0,0,0,40.96,0